Time	S1	S2	I1	I2	Y1	Y2	R1	R2	D1	D2	V1	V2	NewI	NewY
122.335165	402102.570929	113539.276826	119432.644681	7967.093569	37796.569496	1958.102703	43720465.189360	2590025.917898	218691.025533	141729.609005	18625114.048308	1998652.774261	26214297.329676	1320302.789486	
123.337912	401430.463128	113442.508038	111145.992788	7469.889982	35690.385296	1861.444193	43731452.852850	2590602.022928	218768.305938	141844.134859	18625114.048308	1998652.774261	26215066.206265	1321057.066401	
124.340659	400801.918501	113351.962122	103404.548921	7002.682517	33697.603986	1769.297459	43741743.421131	2591144.380696	218840.507461	141951.677205	18625114.048308	1998652.774261	26215785.296808	1321762.916387	
125.343407	400215.594929	113267.408863	96187.698862	6563.880580	31809.818251	1681.404381	43751367.068454	2591654.719059	218907.819503	142052.587118	18625114.048308	1998652.774261	26216456.173639	1322422.377018	
126.346154	399669.195557	113188.524874	89467.265924	6151.983754	30021.551914	1597.576425	43760359.481669	2592134.698693	218970.504937	142147.216253	18625114.048308	1998652.774261	26217081.457000	1323037.927489	
127.348901	399160.461686	113114.992582	83215.475324	5765.534863	28327.620881	1517.633770	43768755.619271	2592585.931979	219028.822838	142235.906805	18625114.048308	1998652.774261	26217663.723163	1323612.002058	
128.351648	398687.172774	113046.500221	77404.954187	5403.119966	26723.133145	1441.405300	43776589.711407	2593009.982998	219083.028487	142318.991515	18625114.048308	1998652.774261	26218205.504436	1324146.990040	
129.354396	398247.146436	112982.741838	72008.731540	5063.368356	25203.488784	1368.728610	43783895.259873	2593408.367533	219133.373367	142396.793663	18625114.048308	1998652.774261	26218709.289157	1324645.235810	
130.357143	397838.238447	112923.417289	67000.238318	4744.952567	23764.379959	1299.450000	43790705.038110	2593782.553069	219180.105165	142469.627075	18625114.048308	1998652.774261	26219177.521695	1325109.038801	
131.359890	397458.342737	112868.232241	62353.307361	4446.588368	22401.790917	1233.424481	43797051.091211	2594133.958790	219223.467775	142537.796120	18625114.048308	1998652.774261	26219612.602454	1325540.653509	
132.362637	397105.391393	112816.898170	58042.173413	4167.034764	21111.997988	1170.515770	43802964.735916	2594463.955586	219263.701290	142601.595709	18625114.048308	1998652.774261	26220016.887867	1325942.289484	
133.365385	396777.354662	112769.132366	54041.473124	3905.093998	19891.569588	1110.596293	43808476.560615	2594773.866046	219301.042011	142661.311297	18625114.048308	1998652.774261	26220392.690403	1326316.111341	
134.368132	396472.240945	112724.657925	50326.245050	3659.611548	18737.366218	1053.547185	43813616.425345	2595064.964460	219335.722441	142717.218882	18625114.048308	1998652.774261	26220742.278561	1326664.238751	
135.370879	396188.096803	112683.203757	46871.929652	3429.476131	17646.540464	999.258288	43818413.461794	2595338.476821	219367.971288	142769.585003	18625114.048308	1998652.774261	26221067.876871	1326988.746444	
136.373626	395923.006954	112644.504579	43654.369295	3213.619700	16616.536994	947.628152	43822896.073295	2595595.580824	219398.013461	142818.666744	18625114.048308	1998652.774261	26221371.665898	1327291.664212	
137.376374	395675.094272	112608.300922	40649.808252	3011.017444	15645.092564	898.564037	43827091.934834	2595837.405864	219426.070078	142864.711733	18625114.048308	1998652.774261	26221655.782237	1327574.976903	
138.379121	395442.553946	112574.343351	37835.314836	2820.693241	14730.156242	851.979684	43831027.620457	2596065.027452	219452.354520	142907.956272	18625114.048308	1998652.774261	26221922.280134	1327840.594897	
139.381868	395224.843226	112542.541627	35203.691060	2641.946595	13867.382861	807.724397	43834715.149293	2596279.234555	219476.933561	142948.552827	18625114.048308	1998652.774261	26222171.792578	1328089.295150	
140.384615	395021.551649	112512.827918	32749.867088	2474.224031	13053.123989	765.664966	43838163.602800	2596480.661892	219499.854475	142986.621193	18625114.048308	1998652.774261	26222404.797864	1328321.650914	
141.387363	394831.912490	112485.091548	30464.423748	2316.945221	12284.826987	725.699264	43841385.631646	2596669.969361	219521.205129	143022.294605	18625114.048308	1998652.774261	26222622.173393	1328538.526422	
142.390110	394655.171283	112459.223708	28338.062016	2169.544916	11560.046584	687.729120	43844393.647871	2596847.799225	219541.072246	143055.703032	18625114.048308	1998652.774261	26222824.782440	1328740.771528	
143.392857	394490.585812	112435.117460	26361.603020	2031.472939	10876.444875	651.660319	43847199.824885	2597014.776109	219559.541407	143086.973172	18625114.048308	1998652.774261	26223013.474159	1328929.221701	
144.395604	394337.426116	112412.667740	24525.988037	1902.194192	10231.791320	617.402603	43849816.097473	2597171.507005	219576.697054	143116.228460	18625114.048308	1998652.774261	26223189.083575	1329104.698031	
145.398352	394194.974487	112391.771350	22822.278494	1781.188651	9623.962747	584.869669	43852254.161790	2597318.581272	219592.622481	143143.589058	18625114.048308	1998652.774261	26223352.431594	1329268.007226	
146.401099	394062.525472	112372.326964	21241.655968	1667.951369	9050.943350	553.979171	43854525.475364	2597456.570629	219607.399846	143169.171867	18625114.048308	1998652.774261	26223504.324995	1329419.941613	
147.403846	393939.385871	112354.235128	19775.422185	1561.992473	8510.824688	524.652720	43856641.257094	2597586.029165	219621.110161	143193.090515	18625114.048308	1998652.774261	26223645.556432	1329561.279136	
148.406593	393824.874738	112337.398256	18414.999023	1462.837167	8001.805690	496.815883	43858612.487252	2597707.493330	219633.833297	143215.455365	18625114.048308	1998652.774261	26223776.904438	1329692.783358	
149.409341	393718.323379	112321.720633	17151.928508	1370.025732	7522.192647	470.398181	43860449.907483	2597821.481941	219645.647983	143236.373513	18625114.048308	1998652.774261	26223899.133419	1329815.203462	
150.412088	393619.075357	112307.108417	15977.872818	1283.113523	7070.399219	445.333094	43862164.020801	2597928.496180	219656.631806	143255.948786	18625114.048308	1998652.774261	26224012.993658	1329929.274248	
151.414835	393526.486485	112293.469632	14884.614279	1201.670971	6644.946431	421.558059	43863765.091595	2598029.019593	219666.861209	143274.281745	18625114.048308	1998652.774261	26224119.221314	1330035.716134	
152.417582	393439.924833	112280.714177	13864.055368	1125.283583	6244.462677	399.014465	43865263.145626	2598123.518091	219676.411496	143291.469683	18625114.048308	1998652.774261	26224218.538421	1330135.235157	
153.420330	393358.770723	112268.753818	12908.218712	1053.551943	5867.683714	377.647662	43866667.970024	2598212.439952	219685.356826	143307.606625	18625114.048308	1998652.774261	26224311.652890	1330228.522974	
154.423077	393282.679688	112257.537701	12012.901404	986.179562	5513.121041	357.394758	43867985.561441	2598296.128435	219693.736427	143322.759543	18625114.048308	1998652.774261	26224398.960042	1330315.981981	
155.425824	393211.586667	112247.053596	11177.724768	922.995143	5179.256938	338.190580	43869217.877501	2598374.796856	219701.554126	143336.963825	18625114.048308	1998652.774261	26224480.537168	1330397.712088	
156.428571	393145.229647	112237.263183	10399.540782	863.779640	4865.004632	319.985317	43870369.385600	2598448.702768	219708.839339	143350.269092	18625114.048308	1998652.774261	26224556.684601	1330474.013120	
157.431319	393083.350226	112228.128708	9675.232978	808.319126	4569.316464	302.730895	43871444.479154	2598518.097397	219715.621178	143362.723874	18625114.048308	1998652.774261	26224627.698497	1330545.180625	
158.434066	393025.694328	112219.613070	9001.726352	756.405012	4291.182808	286.380946	43872447.468151	2598583.225430	219721.928361	143374.375542	18625114.048308	1998652.774261	26224693.870033	1330611.505132	
159.436813	392972.012196	112211.679832	8375.987360	707.834046	4029.632081	270.890800	43873382.579154	2598644.325010	219727.789210	143385.270312	18625114.048308	1998652.774261	26224755.485404	1330673.272159	
160.439560	392922.058399	112204.293209	7795.023919	662.408313	3783.730734	256.217494	43874253.955295	2598701.627740	219733.231653	143395.453244	18625114.048308	1998652.774261	26224812.825822	1330730.762205	
161.442308	392875.591830	112197.418078	7255.885410	619.935240	3552.583256	242.319762	43875065.656281	2598755.358680	219738.283222	143404.968241	18625114.048308	1998652.774261	26224866.167522	1330784.250754	
162.445055	392832.375703	112191.019973	6755.662673	580.227585	3335.332176	229.158044	43875821.658391	2598805.736348	219742.971056	143413.858051	18625114.048308	1998652.774261	26224915.781755	1330834.008274	
163.447802	392792.177556	112185.065084	6291.488013	543.103450	3131.158059	216.694480	43876525.854475	2598852.972721	219747.321897	143422.164265	18625114.048308	1998652.774261	26224961.934791	1330880.300221	
164.450549	392754.769251	112179.520260	5860.535193	508.386272	2939.279507	204.892914	43877182.053958	2598897.273234	219751.362092	143429.927320	18625114.048308	1998652.774261	26225004.887920	1330923.387030	
165.453297	392719.926972	112174.353010	5460.019439	475.904825	2758.953162	193.718890	43877793.982834	2598938.836780	219755.117594	143437.186495	18625114.048308	1998652.774261	26225044.897449	1330963.524124	
166.456044	392687.431227	112169.531498	5087.197440	445.493223	2589.473700	183.139655	43878365.283671	2598977.855712	219758.613962	143443.979913	18625114.048308	1998652.774261	26225082.214707	1331000.961909	
167.458791	392657.066847	112165.024546	4739.367345	416.990917	2430.173839	173.124158	43878899.515612	2599014.515838	219761.876358	143450.344541	18625114.048308	1998652.774261	26225117.086038	1331035.945777	
168.461538	392628.622986	112160.801636	4413.868764	390.242694	2280.424331	163.643052	43879400.154368	2599048.996427	219764.929550	143456.316192	18625114.048308	1998652.774261	26225149.752809	1331068.716103	
