Time	S1	S2	I1	I2	Y1	Y2	R1	R2	D1	D2	V1	V2	NewI	NewY
52.142857	8138860.424980	916904.586855	9841470.473304	422747.552935	168943.477836	5212.141068	26290719.309944	1462317.623644	58494.313936	48038.095498	19737181.932493	1266424.975997	17294334.079675	250718.233621	
53.145604	7187284.183440	861669.065562	10018628.757629	444481.362745	188354.691337	5786.125421	27039045.739105	1488785.770679	65174.628489	54497.675593	19737181.932493	1266424.975997	18301145.842508	284869.487525	
54.148352	6334759.417130	808982.496584	10087368.695692	462166.135653	207676.579614	6355.488453	27796747.563653	1516469.387159	71935.743912	61246.492150	19737181.932493	1266424.975997	19206357.177796	320456.495938	
55.151099	5579396.117093	759311.672825	10057726.676336	475682.480903	226618.319556	6912.483682	28556039.499432	1545095.801222	78707.387584	68217.561369	19737181.932493	1266424.975997	20011391.301593	357148.427338	
56.153846	4917200.929749	712956.606578	9940858.769597	485050.958213	244906.156886	7450.071467	29310094.371570	1574413.291083	85427.772199	75349.072659	19737181.932493	1266424.975997	20719941.555183	394619.421409	
57.156593	4342077.156897	670050.529532	9749040.726693	490432.077784	262283.406164	7961.919011	30053043.114478	1604191.085037	92043.595767	82584.388636	19737181.932493	1266424.975997	21337971.405081	432548.589048	
58.159341	3845824.755712	630559.892766	9495667.980036	492126.300289	278510.450785	8442.400360	30779974.771852	1634219.361457	98510.041616	89872.045129	19737181.932493	1266424.975997	21873714.443033	470620.012356	
59.162088	3418140.338746	594284.366750	9195255.643220	490574.036884	293364.742978	8886.596398	31486936.496670	1664309.248794	104790.778387	97165.751174	19737181.932493	1266424.975997	22337674.386014	508522.744645	
60.164835	3048890.072184	560986.989042	8861680.765357	486236.524734	306624.584658	9289.512277	32170439.061590	1694284.710356	110853.516211	104422.263592	19737181.932493	1266424.975997	22740222.030284	545949.689073	
61.167582	2732555.684101	530667.829083	8503425.768684	479342.732038	318191.566647	9648.060055	32827642.294951	1723963.957977	116672.685617	111597.420847	19737181.932493	1266424.975997	23086875.578327	582694.381744	
62.170330	2459909.037963	503075.255764	8129997.661912	470327.178147	328153.285057	9964.191252	33458182.134080	1753197.415207	122245.880988	118655.959631	19737181.932493	1266424.975997	23387114.797783	618660.531430	
63.173077	2222917.886002	477958.950343	7749518.191066	459595.028911	336587.151671	10239.656268	34061892.440972	1781858.341138	127572.330290	125568.023340	19737181.932493	1266424.975997	23649222.255164	653758.233042	
64.175824	2015137.745231	455091.560499	7368464.141018	447502.241137	343552.540350	10475.756646	34638681.818522	1809841.626416	132651.754879	132308.815301	19737181.932493	1266424.975997	23879869.785779	687900.569845	
65.178571	1831711.897450	434268.700326	6991667.335490	434355.562588	349090.787035	10673.345070	35188533.610525	1837063.793243	137484.369501	138858.598773	19737181.932493	1266424.975997	24084118.493734	721003.613459	
66.181319	1669371.389243	415308.950336	6622314.637050	420412.531982	353225.189745	10832.825363	35711505.901670	1863462.995373	142070.882292	145202.696945	19737181.932493	1266424.975997	24265418.751931	752986.423862	
67.184066	1526435.031981	398053.857461	6261947.947117	405881.478994	355961.008581	10954.152493	36207731.517546	1888999.018114	146412.494776	151331.492938	19737181.932493	1266424.975997	24425610.202069	783771.049388	
68.186813	1402809.401818	382367.935047	5910464.205955	390921.524255	357285.465720	11036.832567	36677418.024640	1913653.278327	150510.901867	157240.429804	19737181.932493	1266424.975997	24564921.754645	813282.526728	
69.189560	1299757.346694	368136.831274	5566326.668775	375646.133658	357173.470522	11080.059759	37120862.047743	1937427.296949	154368.466266	162929.678360	19737181.932493	1266424.975997	24682204.913542	841451.046873	
70.192308	1211744.474944	355201.643498	5233912.139797	360248.395351	355794.612180	11087.723580	37539041.599482	1960289.590388	157995.173598	168392.647183	19737181.932493	1266424.975997	24783152.973068	868296.158935	
